Local Government Area,Fires & explosions,Non-fire rescue calls including animal rescues,Hazards material incidents & other hazardous conditions,"Storm, floods and other natural disasters & calls for assistance from other agencies",Other service calls,Good intent calls,System initiated false alarms,"Malicious false calls false alarms",Other calls,Total primary incidents
ALBURY,244,74,117,69,30,113,212,10,0,869
ARMIDALE REGIONAL ol,200,36,63,39,10,62,282,7,1,700
BALLINA,56,409,63,46,9,94,160,6,8,851
BALRANALD,8,10,5,5,0,0,7,0,0,35
BATHURST,135,43,89,45,13,90,310,4,2,731
BAYSIDE (NSW),287,253,359,196,165,381,"1,658",20,12,"3,331"
BEGA VALLEY,72,35,32,34,11,41,98,5,1,329
BELLINGEN,36,15,24,7,9,25,8,0,1,125
BERRIGAN,36,259,8,1,0,5,20,0,0,329
BLACKTOWN,"1,032",622,927,388,294,734,"1,577",80,23,"5,677"
BLAND,16,37,4,4,3,10,14,1,9,98
BLAYNEY,14,14,10,6,5,1,21,2,2,75
BLUE MOUNTAINS,176,147,246,118,101,228,327,6,3,"1,352"
BOGAN,14,8,2,5,0,2,2,1,2,36
BOURKE,71,1,5,3,0,5,8,1,0,94
BREWARRINA,66,13,3,3,1,3,11,0,0,100
BROKEN HILL,90,44,60,40,13,71,52,2,1,373
BURWOOD,73,69,74,38,27,87,420,0,0,788
BYRON,103,32,68,15,14,108,140,5,1,486
CABONNE,27,34,13,12,0,13,7,0,0,106
CAMDEN,161,193,212,78,51,136,311,9,5,"1,156"
CAMPASPE (S),0,1,0,0,1,0,0,0,0,2
CAMPBELLTOWN (NSW),785,375,383,225,140,351,827,32,4,"3,122"
CANADA BAY,91,157,170,102,73,157,683,4,2,"1,439"
CANTERBURY-BANKSTOWN,647,756,943,439,247,679,"1,545",40,21,"5,317"
CARRATHOOL,12,4,4,4,2,2,1,1,0,30
CENTRAL COAST (NSW),891,540,756,646,294,787,"1,370",59,15,"5,358"
CESSNOCK,450,235,133,84,51,179,170,18,1,"1,321"
CLARENCE VALLEY,241,54,84,80,20,82,157,14,0,732
COBAR,31,13,7,6,7,3,13,2,0,82
COFFS HARBOUR,220,129,146,127,55,235,262,14,0,"1,188"
COOLAMON,10,10,2,1,1,6,1,0,0,31
COONAMBLE,83,8,2,12,5,12,5,0,1,128
COOTAMUNDRA-GUNDAGAI,38,21,26,61,6,12,45,0,0,209
COWRA,55,22,29,6,5,34,25,1,10,187
CUMBERLAND,492,451,689,244,187,502,"1,544",30,6,"4,145"
DUBBO,286,100,129,71,17,141,217,36,4,"1,001"
DUNGOG,11,13,9,5,2,13,2,0,0,55
EAST GIPPSLAND (S),0,1,0,0,0,0,0,0,0,1
EDWARD RIVER,42,16,18,9,1,15,19,2,0,122
EUROBODALLA,63,99,73,55,19,53,106,3,1,472
FAIRFIELD,411,403,543,214,117,262,693,15,4,"2,662"
FEDERATION,38,27,16,9,5,12,59,1,0,167
FORBES,44,10,19,31,0,20,20,3,0,147
GANNAWARRA (S),1,0,0,3,0,1,0,0,0,5
GEORGES RIVER,204,240,279,172,105,307,778,21,9,"2,115"
GILGANDRA,20,22,7,9,0,7,16,0,1,82
GLEN INNES SEVERN,57,36,30,2,4,10,23,2,0,164
GOLD COAST (C),1,0,1,0,0,1,1,0,0,4
GOULBURN MULWAREE,88,55,76,74,17,85,186,4,0,585
GREATER HUME SHIRE,25,171,17,1,1,9,11,2,0,237
GRIFFITH,144,23,46,33,5,57,122,1,9,440
GUNNEDAH,82,38,40,23,6,16,36,6,0,247
GWYDIR,11,10,6,15,1,7,14,1,0,65
HAWKESBURY,123,57,99,27,24,90,200,9,4,633
HAY,12,17,4,1,4,6,10,1,0,55
HILLTOPS,77,42,28,43,5,33,72,1,1,302
HORNSBY,159,254,302,151,135,246,631,11,4,"1,893"
HUNTERS HILL,23,23,44,18,9,29,122,5,1,274
INDIGO (S),3,1,3,2,0,0,0,0,0,9
INNER WEST,275,221,383,177,158,670,"1,416",32,6,"3,338"
INVERELL old,63,13,22,16,4,46,31,6,0,201
JUNEE,34,15,6,3,4,6,10,0,6,84
KEMPSEY,520,45,72,28,19,79,101,13,0,877
KIAMA,34,16,40,11,9,21,91,1,0,223
KU-RING-GAI,104,155,245,83,156,203,675,6,2,"1,629"
KYOGLE,17,5,8,31,1,21,14,0,0,97
LACHLAN,40,21,8,16,5,13,9,1,0,113
LAKE MACQUARIE,692,366,389,482,136,464,617,33,13,"3,192"
LANE COVE,38,45,66,24,33,88,456,2,1,753
