Unnamed: 0,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-04-1,17.9,26.8,0.0,,,NE,48.0,15:42,21.8,79.0,,NNE,7,1020.4,23.7,70.0,,NE,33,1016.3
,2024-04-2,19.8,27.4,0.0,,,WNW,59.0,19:40,20.8,75.0,7.0,NNE,17,1011.4,24.8,70.0,3.0,N,17,1007.8
,2024-04-3,15.6,22.5,1.2,,,WSW,33.0,23:12,18.2,68.0,4.0, ,Calm,1018.5,20.9,74.0,8.0,SE,15,1019.3
,2024-04-4,17.6,20.6,0.0,,,ENE,46.0,17:31,17.9,87.0,8.0,SSW,17,1025.0,19.3,83.0,8.0,SSW,20,1024.4
,2024-04-5,17.4,21.2,35.4,,,ENE,65.0,14:40,20.3,83.0,8.0,SSE,33,1026.5,17.8,91.0,8.0,SSE,35,1022.7
,2024-04-6,17.4,23.3,194.8,,,ESE,70.0,01:12,21.2,90.0,,N,13,1013.7,22.6,84.0,6.0,NE,20,1011.9
,2024-04-7,15.7,24.2,0.0,,,SW,24.0,22:16,21.0,79.0,,E,7,1012.0,21.7,81.0,8.0,E,7,1008.6
,2024-04-8,17.5,22.8,0.2,,,S,28.0,08:37,20.3,82.0,8.0,S,20,1011.7,21.6,75.0,3.0,ENE,11,1009.7
,2024-04-9,16.0,20.7,0.0,,,SSW,72.0,15:22,18.7,64.0,1.0,W,6,1009.9,14.0,81.0,8.0,SSW,44,1011.4
,2024-04-10,11.3,20.5,8.0,,,SSW,72.0,00:56,15.8,58.0,8.0,SW,26,1016.8,19.4,55.0,8.0,SSW,33,1015.8
,2024-04-11,14.4,20.4,0.0,,,S,39.0,10:58,18.5,54.0,6.0,SW,15,1020.4,19.4,60.0,,S,30,1019.9
,2024-04-12,13.3,21.1,0.0,,,ESE,17.0,10:21,19.9,68.0,6.0,ENE,4,1022.6,20.3,68.0,,NE,13,1019.0
,2024-04-13,14.7,21.5,0.0,,,S,26.0,11:02,20.0,75.0,,S,7,1022.1,20.8,77.0,,SE,17,1020.7
,2024-04-14,17.0,22.4,0.0,,,SSW,17.0,08:43,20.6,74.0,1.0,SSW,13,1023.8,21.4,74.0,,N,7,1020.7
,2024-04-15,14.7,22.1,0.0,,,SSW,17.0,01:23,20.7,74.0,,NNE,7,1023.7,21.4,56.0,,ENE,9,1021.0
,2024-04-16,14.4,21.6,0.2,,,S,20.0,16:39,19.9,78.0,,SSW,11,1024.9,20.9,76.0,,SSE,13,1022.1
,2024-04-17,16.8,20.5,0.0,,,S,35.0,13:55,18.1,81.0,7.0,S,24,1025.6,19.2,82.0,8.0,S,28,1022.1
,2024-04-18,16.0,21.3,0.0,,,SSW,31.0,18:51,19.7,76.0,1.0,S,4,1018.2,19.7,72.0,6.0,S,17,1014.4
,2024-04-19,12.3,21.5,0.0,,,SSW,59.0,23:39,18.2,56.0,,SW,17,1017.3,18.9,66.0,1.0,S,43,1018.6
,2024-04-20,14.2,18.8,6.0,,,S,63.0,10:03,16.8,76.0,8.0,SSW,44,1025.8,17.2,82.0,7.0,SSW,46,1026.7
,2024-04-21,15.1,20.4,1.2,,,SSW,35.0,09:38,18.6,65.0,,SSW,20,1029.9,19.7,63.0,,SE,11,1027.1
,2024-04-22,14.2,22.0,0.0,,,NNW,33.0,23:42,18.5,67.0,,S,7,1029.5,21.6,67.0,,NNE,13,1026.1
,2024-04-23,16.7,23.9,0.0,,,NE,41.0,15:58,20.6,58.0,,NW,24,1025.0,21.8,71.0,,NE,30,1019.7
,2024-04-24,17.4,26.1,0.0,,,S,61.0,15:31,19.9,57.0,,NW,15,1016.8,25.0,34.0,,SW,15,1016.2
,2024-04-25,13.1,19.7,0.0,,,SSE,22.0,17:53,17.6,49.0,,SSW,13,1021.2,19.0,49.0,,SSE,9,1019.3
,2024-04-26,13.7,19.2,0.0,,,SW,33.0,08:49,17.0,51.0,,SW,22,1024.7,18.6,61.0,,S,24,1023.2
,2024-04-27,14.5,20.7,0.0,,,SSW,22.0,09:32,17.8,72.0,8.0,SSW,17,1028.2,20.1,68.0,,ESE,9,1026.0
,2024-04-28,16.0,23.5,0.0,,,NNW,37.0,23:04,20.4,64.0,,NNE,9,1027.3,21.4,72.0,,NE,24,1023.1
,2024-04-29,17.7,27.0,0.0,,,WNW,37.0,04:22,22.0,50.0,2.0,NW,24,1023.7,23.7,66.0,2.0,NE,15,1020.6
,2024-04-30,16.3,17.9,4.2,,,SSW,57.0,13:40,16.6,82.0,7.0,SSW,37,1026.9,17.6,70.0,8.0,SSW,43,1026.5
,2024-05-1,13.4,18.6,,,,S,54.0,11:36,15.3,70.0,8.0,SW,19,1031.2,15.9,83.0,8.0,SSW,39,1029.7
,2024-05-2,13.3,19.4,,,,S,41.0,16:28,16.2,72.0,8.0,SSW,17,1032.0,17.9,70.0,2.0,S,28,1030.1
,2024-05-3,13.6,16.0,,,,SW,33.0,10:14,13.8,92.0,8.0,SW,22,1030.9,15.7,87.0,8.0,SSW,13,1027.7
,2024-05-4,13.8,17.5,,,,SSW,33.0,13:44,15.4,90.0,8.0,SW,15,1026.2,16.6,86.0,8.0,SW,15,1023.1
,2024-05-5,14.6,19.1,,,,S,63.0,23:28,15.5,87.0,8.0,S,39,1023.4,14.6,92.0,7.0,SW,19,1022.5
,2024-05-6,14.3,19.7,,,,S,72.0,02:08,18.2,79.0,5.0,S,37,1029.1,19.3,56.0,1.0,SSE,35,1029.4
