Unnamed: 0,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-04-1,18.0,28.6,0.0,4.4,10.5,NE,41.0,16:19,19.1,90,1,WNW,2,1020.7,27.7,53,1.0,NE,20,1016.8
,2024-04-2,19.1,25.3,0.0,5.4,3.7,NW,33.0,18:17,21.5,71,7,NE,4,1012.1,21.5,89,7.0,N,7,1009.3
,2024-04-3,16.4,25.3,2.8,4.0,8.9,W,37.0,04:10,17.4,65,2,W,19,1018.3,22.5,68,5.0,SE,20,1018.8
,2024-04-4,17.4,21.3,0.0,6.2,0.0,SSE,46.0,22:53,20.7,70,7,SSE,22,1023.8,18.1,91,8.0,ESE,13,1023.5
,2024-04-5,17.8,20.5,111.0,4.4,0.0,ESE,70.0,22:32,19.1,97,8,SE,6,1024.8,17.5,97,8.0,S,17,1021.3
,2024-04-6,17.4,28.5,,,9.5,E,87.0,01:08,19.5,98,6,NNW,9,1014.8,28.2,44,1.0,NW,15,1011.7
,2024-04-7,17.7,27.9,0.0,6.6,7.8,NE,24.0,13:05,20.8,71,3,W,11,1012.1,25.3,55,4.0,ENE,11,1007.7
,2024-04-8,16.4,25.5,0.0,4.6,8.4,SSE,30.0,10:01,20.7,73,7,SSW,15,1011.3,23.4,63,7.0,ESE,15,1009.4
,2024-04-9,16.5,22.5,0.0,4.0,5.2,SW,57.0,13:14,19.5,70,7,WNW,11,1009.9,16.0,80,7.0,SSW,33,1009.7
,2024-04-10,11.9,21.4,18.2,4.4,5.4,SW,63.0,01:06,14.8,61,7,WSW,15,1015.9,20.7,51,3.0,S,26,1015.0
,2024-04-11,12.1,22.4,0.0,4.0,9.1,SSE,35.0,14:40,17.0,62,2,WNW,22,1020.3,21.5,49,3.0,S,20,1019.6
,2024-04-12,13.0,24.7,0.0,4.2,,WNW,24.0,00:06,18.2,74,1,WNW,17,1022.5,23.6,51,1.0,E,13,1018.6
,2024-04-13,14.4,25.0,0.0,5.8,10.1,ESE,24.0,12:24,18.6,79,1,WNW,11,1021.9,24.1,62,1.0,ESE,11,1020.0
,2024-04-14,15.8,25.7,0.0,2.2,10.5,E,20.0,13:26,20.3,82,1,WNW,11,1023.5,24.1,66,1.0,E,13,1020.3
,2024-04-15,16.4,26.2,0.0,3.6,9.4,W,26.0,04:26,20.1,78,1,WNW,15,1023.6,24.4,52,6.0,ESE,13,1020.9
,2024-04-16,14.8,25.0,0.0,4.8,8.3,ESE,24.0,14:57,18.7,78,7,WNW,15,1024.5,23.5,64,1.0,ESE,19,1021.4
,2024-04-17,16.3,23.3,0.0,4.0,8.4,S,33.0,10:19,20.7,81,3,S,22,1024.7,21.3,74,7.0,SSE,20,1021.4
,2024-04-18,16.7,24.8,1.4,4.6,7.4,SSE,35.0,14:28,17.6,95,7,W,13,1018.5,20.2,86,7.0,SSE,15,1014.0
,2024-04-19,12.2,22.5,7.4,1.2,5.6,S,44.0,16:01,16.5,68,2,W,17,1016.9,19.3,63,7.0,S,19,1017.7
,2024-04-20,15.5,18.9,2.2,4.2,2.4,SSW,59.0,12:46,17.4,86,6,SSW,26,1024.1,18.0,85,7.0,SSW,26,1024.6
,2024-04-21,14.5,21.6,12.8,3.6,8.6,SSW,37.0,11:14,16.6,77,3,W,17,1028.8,20.1,64,6.0,SSW,17,1027.0
,2024-04-22,13.2,24.3,0.0,3.2,9.9,W,22.0,02:34,17.0,82,1,WNW,17,1029.2,23.6,58,3.0,E,11,1026.4
,2024-04-23,14.0,25.7,0.0,3.4,,NE,33.0,15:23,17.8,84,1,WNW,17,1025.7,24.4,56,0.0,ENE,22,1020.0
,2024-04-24,17.8,26.3,0.0,5.8,4.6,SSE,57.0,16:54,20.9,54,7,NNW,20,1016.5,25.6,40,2.0,SSW,11,1015.3
,2024-04-25,12.5,22.4,0.0,4.4,10.3,ESE,31.0,13:50,17.2,66,1,WNW,17,1020.7,21.4,46,1.0,SSE,13,1019.0
,2024-04-26,11.5,21.2,0.0,4.6,10.4,SW,39.0,10:23,16.0,64,1,W,19,1024.0,20.8,51,1.0,SSE,22,1022.9
,2024-04-27,12.0,23.4,0.0,3.2,6.2,W,28.0,00:07,16.5,73,6,W,20,1027.9,22.7,58,2.0,ESE,11,1025.7
,2024-04-28,13.5,24.9,0.0,2.6,9.2,NE,31.0,14:18,17.3,87,1,WNW,13,1027.6,24.0,59,2.0,NE,19,1023.3
,2024-04-29,14.4,27.7,0.0,4.6,9.1,W,28.0,21:27,17.3,83,6,WNW,13,1024.5,25.2,59,7.0,E,11,1020.8
,2024-04-30,17.2,19.8,0.0,4.0,0.9,SSE,52.0,22:56,19.0,81,7,SSW,15,1025.4,17.1,86,8.0,SSW,24,1025.3
,2024-05-1,12.9,18.9,22.8,,5.1,SSW,46.0,14:48,13.8,90,8,W,20,1030.4,17.9,79,6.0,SSW,24,1028.6
,2024-05-2,12.9,19.8,23.2,,3.0,W,30.0,03:25,15.0,93,7,W,17,1031.6,19.2,67,7.0,S,15,1029.3
,2024-05-3,13.6,16.8,6.8,,0.0,SSW,28.0,13:00,14.8,96,7,W,17,1029.9,16.1,93,8.0,SSW,9,1027.2
,2024-05-4,13.7,19.5,18.6,1.0,1.1,SSE,30.0,14:33,14.7,98,7,W,15,1025.4,17.2,87,7.0,SSW,13,1022.4
,2024-05-5,14.7,19.2,21.4,3.2,0.1,SE,44.0,22:50,15.3,96,8,WSW,7,1022.4,16.3,91,8.0,SSW,11,1020.9
,2024-05-6,15.2,22.3,31.2,0.0,7.6,ESE,57.0,02:54,19.1,64,4,SE,26,1026.7,21.4,51,6.0,SE,26,1028.0
,2024-05-7,13.8,23.3,3.0,4.8,2.6,ESE,39.0,00:29,15.5,95,7,W,17,1030.8,17.6,82,7.0,S,6,1029.1
